Categoria,Producto,Presentacion,Precio unitario
Roll Individuales,New York Roll,N/A,"236"
Roll Individuales,New York Phila Roll,N/A,"261"
Roll Individuales,California Roll,N/A,"187"
Roll Individuales,Cronchy Palta Roll,N/A,"161"
Roll Individuales,Shrimp Roll,N/A,"188"
Roll Individuales,Buenos Aires Roll,N/A,"236"
Roll Individuales,Salmon Shibo Roll,N/A,"216"
Roll Individuales,Tamago Roll,N/A,"360"
Roll Individuales,Hot Shrimp Roll,N/A,"233"
Roll Individuales,Hot Phila Roll,N/A,"266"
Roll Individuales,Flamed Shrimp Roll,N/A,"227"
Roll Individuales,Veggie Shrimp Roll,N/A,"196"
Roll Individuales,Veggie Roll,N/A,"186"
Roll Individuales,Tropical Veggie Roll,N/A,"203"
Roll Individuales,Veggie Hot Roll,N/A,"204"
Roll Individuales,Tamago Veggie,N/A,"175"
Roll Individuales,New York Crispy Roll,N/A,"242"
Roll Individuales,Apaltado Roll,N/A,"289"
Roll Individuales,Acevichado Roll,N/A,"191"
Roll Individuales,Quinoa Roll,N/A,"234"
Roll Individuales,Kani Crispy Roll,N/A,"178"
Roll Individuales,Ebi Sumoku Roll,N/A,"272"
Roll Individuales,Sumoku Roll,N/A,"245"
Roll Individuales,Maki Salmon Roll,N/A,"205"
Roll Individuales,Shiburetto Roll,N/A,"204"
Roll Individuales,Green Roll,N/A,"174"
Combinados,Team Salmon,15,"427"
Combinados,Team Salmon,30,"753"
Combinados,Team Salmon,45,"1140"
Combinados,Team Salmon,60,"1471"
Combinados,Team Shrimp,15,"310"
Combinados,Team Shrimp,30,"596"
Combinados,Team Shrimp,45,"939"
Combinados,Team Shrimp,60,"1248"
Combinados,Sushi Lovers,15,"353"
Combinados,Sushi Lovers,30,"723"
Combinados,Sushi Lovers,45,"1085"
Combinados,Sushi Lovers,60,"1395"
Combinados,Team Veggie,15,"292"
Combinados,Team Veggie,30,"549"
Combinados,Team Veggie,45,"816"
Combinados,Team Veggie,60,"1088"
Combinados,Ocean,15,"381"
Combinados,Ocean,30,"703"
Combinados,Ocean,45,"1097"
Combinados,Ocean,60,"1521"
Sushi Salads,Classic,Peq,"278"
Sushi Salads,Cronchy Classic,Peq,"284"
Sushi Salads,Buenos Aires,Peq,"242"
Sushi Salads,Tropical,Peq,"276"
Sushi Salads,Green,Peq,"207"
Sushi Salads,Sumoku,Peq,"285"
Sushi Salads,Classic,Poke,"378"
Sushi Salads,Cronchy Classic,Poke,"390"
Sushi Salads,Buenos Aires,Poke,"336"
Sushi Salads,Tropical,Poke,"376"
Sushi Salads,Green,Poke,"294"
Sushi Salads,Sumoku,Poke,"481"
Ensaladas&Wrap,Ensalada,Tropical,"209"
Ensaladas&Wrap,Ensalada,Pollo,"174"
Ensaladas&Wrap,Ensalada,Langostino,"225"
Ensaladas&Wrap,Ensalada,Salmon Ahu,"270"
Ensaladas&Wrap,Wrap,Tropical,"227"
Ensaladas&Wrap,Wrap,Pollo,"192"
Ensaladas&Wrap,Wrap,Langostino,"244"
Ensaladas&Wrap,Wrap,Salmon Ahu,"288"
Entradas,Alitas de Pollo,N/A,"268"
Entradas,Rabas a la Romana,N/A,"314"
Entradas,Nuggets,N/A,"201"
Entradas,Crocante de Salmon,N/A,"756"
Entradas,Langostino Rebosado,N/A,"369"
Entradas,Nigiri,Salmon,"102"
Entradas,Nigiri,Langostino,"84"
Entradas,Geisha,Salmon,"235"
Entradas,Sashimi Salmon,N/A,"231"
Entradas,Geisha,Zanahoria,"101"
Entradas,Nigiri,Palta,"84"
Entradas,Tequeños,N/A,"239"
Calientes,Yakimeshi,Pollo,"159"
Calientes,Yakimeshi,Lomo,"290"
Calientes,Yakimeshi,Salmon,"380"
Calientes,Yakimeshi,L&C,"252"
Calientes,Tallarines,Pollo,"236"
Calientes,Tallarines,Lomo,"358"
Calientes,Tallarines,Salmon,"449"
Calientes,Tallarines,L&C,"321"
Calientes,Lomo Saltado,N/A,"279"
Calientes,Pollo Saltado,N/A,"156"
Calientes,Salmon Grille,N/A,"420"
Calientes,Medallones Lomo,N/A,"382"
Calientes,Tallarines,normal,"179"
Calientes,Yakimeshi,normal,"111"
Combos,Combo 1,N/A,"283"
Combos,Combo 2,N/A,"337"
Combos,combo 3,N/A,"210"
Combos,combo 4,N/A,"187"
